ThresholdType,CueType,T,N,K,P,Beta,Mu,Sigma,s,l,DOL,TaskSwitches,Loading,TimetoEq
Composite Threshold,Task Completion,1,588,0.00267376189153336,0.684361991186856,1.75262914580567,0.718146376234744,0.604097415183473,NaN,NaN,Inf,1218013,-77747.2227208582,2714
Random Choice,Task Completion,1,588,0.00267376189153336,0.684361991186856,1.75262914580567,0.718146376234744,0.604097415183473,0.75329499897558,0.932920297693928,Inf,2450100,-5858.22272085818,4925
Response Threshold,Task Demand,2,562,0.00108764343739133,0.975990848542857,3.7083771511872,0.379661473509853,0.919096807463318,NaN,NaN,0.00500702444608922,2577781,-1779573.73914333,1
Satisfaction Threshold,Task Demand,2,562,0.00108764343739133,0.975990848542857,3.7083771511872,0.379661473509853,0.919096807463318,NaN,NaN,0.349217767591794,55997,-1469821.73914333,1
Composite Threshold,Task Demand,2,562,0.00108764343739133,0.975990848542857,3.7083771511872,0.379661473509853,0.919096807463318,NaN,NaN,0.186081172876032,325370,-482757.739143331,4274
Random Choice,Task Demand,2,562,0.00108764343739133,0.975990848542857,3.7083771511872,0.379661473509853,0.919096807463318,0.0201873481358515,0.538144203744887,0.00650069263025557,109233,-2998680.73914333,1
Response Threshold,Task Completion,2,562,0.00108764343739133,0.975990848542857,3.7083771511872,0.379661473509853,0.919096807463318,NaN,NaN,0.000103891729296406,2775811,-1678042.73914333,1
Satisfaction Threshold,Task Completion,2,562,0.00108764343739133,0.975990848542857,3.7083771511872,0.379661473509853,0.919096807463318,NaN,NaN,0.218077192666243,9407,-499638.739143331,1582
Composite Threshold,Task Completion,2,562,0.00108764343739133,0.975990848542857,3.7083771511872,0.379661473509853,0.919096807463318,NaN,NaN,0.151286402231268,172338,-430673.739143331,3631
Random Choice,Task Completion,2,562,0.00108764343739133,0.975990848542857,3.7083771511872,0.379661473509853,0.919096807463318,0.232185199761591,0.557826547042952,0.000601701803450482,920837,-2275192.73914333,1
Response Threshold,Task Demand,4,519,0.00103421721032541,0.798860170938783,3.43777316951372,0.29480967022538,0.433186941670117,NaN,NaN,0.00341070502907407,2188110,-1641167.90676511,1
Satisfaction Threshold,Task Demand,4,519,0.00103421721032541,0.798860170938783,3.43777316951372,0.29480967022538,0.433186941670117,NaN,NaN,0.312040708029347,77367,-609897.906765108,4294
Composite Threshold,Task Demand,4,519,0.00103421721032541,0.798860170938783,3.43777316951372,0.29480967022538,0.433186941670117,NaN,NaN,0.298475451473366,104928,-475137.906765108,4438
Random Choice,Task Demand,4,519,0.00103421721032541,0.798860170938783,3.43777316951372,0.29480967022538,0.433186941670117,0.410013246116932,0.107221567832456,0.00226825609687606,441085,-953721.906765108,1
Response Threshold,Task Completion,4,519,0.00103421721032541,0.798860170938783,3.43777316951372,0.29480967022538,0.433186941670117,NaN,NaN,0.000275422890636605,2304725,-1568187.90676511,1
Satisfaction Threshold,Task Completion,4,519,0.00103421721032541,0.798860170938783,3.43777316951372,0.29480967022538,0.433186941670117,NaN,NaN,0.232087035754156,15502,-455101.906765108,3944
Composite Threshold,Task Completion,4,519,0.00103421721032541,0.798860170938783,3.43777316951372,0.29480967022538,0.433186941670117,NaN,NaN,0.21907292496862,34615,-437472.906765108,4518
